event,taxaGroup,IrMnpgCd,IrMnµgCd
LSZ2,CenDiaLg,1232716.277,1.232716277
LSZ2,CenDiaSm,342175.9797,0.34217598
LSZ2,CilLg,69955.19874,0.069955199
LSZ2,CilSm,11183.20498,0.011183205
LSZ2,FlagSm,57933.64169,0.057933642
LSZ2,Other,5481.855225,0.005481855
SJR1,CenDiaLg,1195213.313,1.195213313
SJR1,CenDiaSm,90824.76529,0.090824765
SJR1,CilLg,108533.2191,0.108533219
SJR1,CilSm,66134.38893,0.066134389
SJR1,FlagSm,5238.250032,0.00523825
SJR1,Other,-26203.45787,-0.026203458
SJR2,CenDiaLg,42996.1804,0.04299618
SJR2,CenDiaSm,17583.69124,0.017583691
SJR2,CilLg,45722.66304,0.045722663
SJR2,CilSm,15273.2119,0.015273212
SJR2,FlagSm,41718.01764,0.041718018
SJR2,Other,36115.02229,0.036115022
WLD2,CenDiaLg,8484.12086,0.008484121
WLD2,CenDiaSm,-1208.395522,-0.001208396
WLD2,CilLg,48279.82577,0.048279826
WLD2,CilSm,21541.34317,0.021541343
WLD2,FlagSm,-6758.427825,-0.006758428
WLD2,Other,-16371.97328,-0.016371973
YBP1,CenDiaLg,15313.22849,0.015313228
YBP1,CenDiaSm,547.351695,0.000547352
YBP1,CilLg,53499.33158,0.053499332
YBP1,CilSm,8898.070455,0.00889807
YBP1,FlagSm,42805.57995,0.04280558
YBP1,Other,8146.213188,0.008146213
YBP2,CenDiaLg,440105.0635,0.440105064
YBP2,CenDiaSm,498765.7513,0.498765751
YBP2,CilLg,3753092.251,3.753092251
YBP2,CilSm,177707.2932,0.177707293
YBP2,FlagSm,46953.60479,0.046953605
YBP2,Other,297841.8437,0.297841844