event,taxaGroup,IRµgCd,IrMnµgCd
LSZ2,CenDiaLg,1.48037229,1.232716396
LSZ2,CenDiaLg,1.051680143,1.232716396
LSZ2,CenDiaLg,1.166096756,1.232716396
LSZ2,CenDiaSm,0.327863334,0.34217601
LSZ2,CenDiaSm,0.396987906,0.34217601
LSZ2,CenDiaSm,0.301676791,0.34217601
LSZ2,CilLg,0.080011094,0.069955206
LSZ2,CilLg,0.084329311,0.069955206
LSZ2,CilLg,0.045525213,0.069955206
LSZ2,CilSm,0.012053503,0.011183206
LSZ2,CilSm,0.014363216,0.011183206
LSZ2,CilSm,0.0071329,0.011183206
LSZ2,FlagSm,0.046043181,0.057933648
LSZ2,FlagSm,0.049775817,0.057933648
LSZ2,FlagSm,0.077981945,0.057933648
LSZ2,Other,0.0049966,0.005481856
LSZ2,Other,0.016820709,0.005481856
SJR1,CenDiaLg,1.303566226,1.195213429
SJR1,CenDiaLg,1.088288644,1.195213429
SJR1,CenDiaLg,1.193785418,1.195213429
SJR1,CenDiaSm,0.144888523,0.090824773
SJR1,CenDiaSm,0.055204446,0.090824773
SJR1,CenDiaSm,0.072381351,0.090824773
SJR1,CilLg,0.109572892,0.10853323
SJR1,CilLg,0.14884992,0.10853323
SJR1,CilLg,0.067176879,0.10853323
SJR1,CilSm,0.078698625,0.066134396
SJR1,CilSm,0.05998189,0.066134396
SJR1,CilSm,0.059722673,0.066134396
SJR1,FlagSm,0.020792613,0.005238251
SJR1,FlagSm,0.001748631,0.005238251
SJR2,CenDiaLg,0.027322805,0.042996184
SJR2,CenDiaLg,0.037401416,0.042996184
SJR2,CenDiaLg,0.064264333,0.042996184
SJR2,CenDiaSm,0.014528874,0.017583693
SJR2,CenDiaSm,0.011785119,0.017583693
SJR2,CenDiaSm,0.026437086,0.017583693
SJR2,CilLg,0.061177277,0.045722668
SJR2,CilLg,0.038368377,0.045722668
SJR2,CilLg,0.037622349,0.045722668
SJR2,CilSm,0.010401571,0.015273213
SJR2,CilSm,0.01706633,0.015273213
SJR2,CilSm,0.01835174,0.015273213
SJR2,FlagSm,0.0132021,0.041718022
SJR2,FlagSm,0.040739689,0.041718022
SJR2,FlagSm,0.071212277,0.041718022
SJR2,Other,0.022486026,0.036115026
SJR2,Other,0.023396705,0.036115026
SJR2,Other,0.062462347,0.036115026
WLD2,CenDiaLg,0.010102814,0.008484122
WLD2,CenDiaLg,0.008235599,0.008484122
WLD2,CenDiaLg,0.007113951,0.008484122
WLD2,CilLg,0.041637471,0.048279831
WLD2,CilLg,0.058933646,0.048279831
WLD2,CilLg,0.044268375,0.048279831
WLD2,CilSm,0.019935441,0.021541345
WLD2,CilSm,0.029316121,0.021541345
WLD2,CilSm,0.015372475,0.021541345
YBP1,CenDiaSm,0.000485819,0.000547352
YBP1,CenDiaSm,0.000879897,0.000547352
YBP1,CenDiaSm,0.000276339,0.000547352
YBP1,CilLg,0.057389295,0.053499337
YBP1,CilLg,0.039592403,0.053499337
YBP1,CilLg,0.063516313,0.053499337
YBP1,CilSm,0.007840508,0.008898071
YBP1,CilSm,0.00971227,0.008898071
YBP1,CilSm,0.009141436,0.008898071
YBP1,FlagSm,0.053386227,0.042805584
YBP1,FlagSm,0.025841376,0.042805584
YBP1,FlagSm,0.04918915,0.042805584
YBP1,Other,0.021215029,0.008146214
YBP1,Other,0.004161441,0.008146214
YBP2,CenDiaLg,0.578768264,0.440105104
YBP2,CenDiaLg,0.350414127,0.440105104
YBP2,CenDiaLg,0.391132922,0.440105104
YBP2,CenDiaSm,0.286928189,0.498765796
YBP2,CenDiaSm,0.871396637,0.498765796
YBP2,CenDiaSm,0.337972562,0.498765796
YBP2,CilLg,3.238494048,3.75309264
YBP2,CilLg,1.597202818,3.75309264
YBP2,CilLg,6.423581054,3.75309264
YBP2,CilSm,0.116714713,0.177707312
YBP2,CilSm,0.307334759,0.177707312
YBP2,CilSm,0.109072463,0.177707312
YBP2,FlagSm,0.025127341,0.04695361
YBP2,FlagSm,0.107552381,0.04695361
YBP2,FlagSm,0.008181107,0.04695361
YBP2,Other,0.488568361,0.297841874
YBP2,Other,0.452842283,0.297841874