event,taxaGroup,IRµgCd
LSZ2,CenDiaLg,1.480372147
LSZ2,CenDiaLg,1.051680041
LSZ2,CenDiaLg,1.166096643
LSZ2,CenDiaSm,0.327863305
LSZ2,CenDiaSm,0.396987871
LSZ2,CenDiaSm,0.301676764
LSZ2,CilLg,0.080011085
LSZ2,CilLg,0.084329303
LSZ2,CilLg,0.045525208
LSZ2,CilSm,0.012053502
LSZ2,CilSm,0.014363215
LSZ2,CilSm,0.007132899
LSZ2,FlagSm,0.046043176
LSZ2,FlagSm,0.049775812
LSZ2,FlagSm,0.077981937
LSZ2,Other,-0.005371741
LSZ2,Other,0.0049966
LSZ2,Other,0.016820707
SJR1,CenDiaLg,1.303566099
SJR1,CenDiaLg,1.088288539
SJR1,CenDiaLg,1.193785302
SJR1,CenDiaSm,0.14488851
SJR1,CenDiaSm,0.055204441
SJR1,CenDiaSm,0.072381345
SJR1,CilLg,0.109572881
SJR1,CilLg,0.148849905
SJR1,CilLg,0.067176872
SJR1,CilSm,0.078698617
SJR1,CilSm,0.059981884
SJR1,CilSm,0.059722667
SJR1,FlagSm,0.020792611
SJR1,FlagSm,0.001748631
SJR1,FlagSm,-0.006826492
SJR1,Other,-0.038557298
SJR1,Other,-0.057407269
SJR1,Other,0.017354193
SJR2,CenDiaLg,0.027322802
SJR2,CenDiaLg,0.037401412
SJR2,CenDiaLg,0.064264327
SJR2,CenDiaSm,0.014528872
SJR2,CenDiaSm,0.011785118
SJR2,CenDiaSm,0.026437083
SJR2,CilLg,0.061177271
SJR2,CilLg,0.038368373
SJR2,CilLg,0.037622345
SJR2,CilSm,0.010401569
SJR2,CilSm,0.017066328
SJR2,CilSm,0.018351738
SJR2,FlagSm,0.013202099
SJR2,FlagSm,0.040739685
SJR2,FlagSm,0.07121227
SJR2,Other,0.022486023
SJR2,Other,0.023396703
SJR2,Other,0.062462341
WLD2,CenDiaLg,0.010102813
WLD2,CenDiaLg,0.008235599
WLD2,CenDiaLg,0.007113951
WLD2,CenDiaSm,0.000877344
WLD2,CenDiaSm,3.17E-05
WLD2,CenDiaSm,-0.004534229
WLD2,CilLg,0.041637467
WLD2,CilLg,0.05893364
WLD2,CilLg,0.04426837
WLD2,CilSm,0.019935439
WLD2,CilSm,0.029316118
WLD2,CilSm,0.015372473
WLD2,FlagSm,-0.043964308
WLD2,FlagSm,0.034420997
WLD2,FlagSm,-0.010731972
WLD2,Other,-0.031353396
WLD2,Other,0.008131763
WLD2,Other,-0.025894287
YBP1,CenDiaLg,0.004944028
YBP1,CenDiaLg,0.020457834
YBP1,CenDiaLg,0.020537823
YBP1,CenDiaSm,0.000485819
YBP1,CenDiaSm,0.000879897
YBP1,CenDiaSm,0.000276339
YBP1,CilLg,0.057389289
YBP1,CilLg,0.039592399
YBP1,CilLg,0.063516306
YBP1,CilSm,0.007840507
YBP1,CilSm,0.009712269
YBP1,CilSm,0.009141435
YBP1,FlagSm,0.053386221
YBP1,FlagSm,0.025841374
YBP1,FlagSm,0.049189145
YBP1,Other,0.021215026
YBP1,Other,-0.000937827
YBP1,Other,0.00416144
YBP2,CenDiaLg,0.57876821
YBP2,CenDiaLg,0.350414094
YBP2,CenDiaLg,0.391132886
YBP2,CenDiaSm,0.286928163
YBP2,CenDiaSm,0.871396559
YBP2,CenDiaSm,0.337972531
YBP2,CilLg,3.238493712
YBP2,CilLg,1.597202652
YBP2,CilLg,6.423580389
YBP2,CilSm,0.116714701
YBP2,CilSm,0.307334727
YBP2,CilSm,0.109072451
YBP2,FlagSm,0.025127339
YBP2,FlagSm,0.107552369
YBP2,FlagSm,0.008181106
YBP2,Other,0.488568312
YBP2,Other,0.452842237
YBP2,Other,-0.047885017