samp_ev,taxaGroup,rep,totBioMl,totBioUgL
LSZ2,CenDiaLg,1,19978.23057,19.97823057
LSZ2,CenDiaLg,2,24714.31207,24.71431207
LSZ2,CenDiaLg,3,24659.88304,24.65988304
LSZ2,CenDiaSm,1,4986.472101,4.986472101
LSZ2,CenDiaSm,2,6109.658017,6.109658017
LSZ2,CenDiaSm,3,10917.75952,10.91775952
LSZ2,CilLg,1,1101.984754,1.101984754
LSZ2,CilLg,2,2374.879485,2.374879485
LSZ2,CilLg,3,1047.730071,1.047730071
LSZ2,CilSm,1,245.1522392,0.245152239
LSZ2,CilSm,2,240.484342,0.240484342
LSZ2,CilSm,3,566.1939093,0.566193909
LSZ2,FlagSm,1,2978.512259,2.978512259
LSZ2,FlagSm,2,2434.245228,2.434245228
LSZ2,FlagSm,3,7799.609133,7.799609133
LSZ2,Other,1,1473.376379,1.473376379
LSZ2,Other,2,1420.848179,1.420848179
LSZ2,Other,3,2869.489219,2.869489219
SJR1,CenDiaLg,1,21739.31153,21.73931153
SJR1,CenDiaLg,2,23466.16245,23.46616245
SJR1,CenDiaLg,3,28097.40006,28.09740006
SJR1,CenDiaSm,1,3816.066072,3.816066072
SJR1,CenDiaSm,2,4098.578667,4.098578667
SJR1,CenDiaSm,3,2260.744215,2.260744215
SJR1,CilLg,1,1766.854936,1.766854936
SJR1,CilLg,2,3034.704552,3.034704552
SJR1,CilLg,3,2516.173559,2.516173559
SJR1,CilSm,1,1439.555792,1.439555792
SJR1,CilSm,2,1055.461837,1.055461837
SJR1,CilSm,3,2092.798918,2.092798918
SJR1,FlagSm,1,388.821032,0.388821032
SJR1,FlagSm,2,369.1674536,0.369167454
SJR1,FlagSm,3,677.712187,0.677712187
SJR1,Other,1,4366.444279,4.366444279
SJR1,Other,2,4560.656284,4.560656284
SJR1,Other,3,3915.617627,3.915617627
SJR2,CenDiaLg,1,1295.271352,1.295271352
SJR2,CenDiaLg,2,948.88792,0.94888792
SJR2,CenDiaLg,3,1095.062539,1.095062539
SJR2,CenDiaSm,1,696.1394751,0.696139475
SJR2,CenDiaSm,2,982.4111113,0.982411111
SJR2,CenDiaSm,3,1216.175953,1.216175953
SJR2,CilLg,1,987.9834529,0.987983453
SJR2,CilLg,2,1384.661075,1.384661075
SJR2,CilLg,3,1513.181511,1.513181511
SJR2,CilSm,1,318.3145007,0.318314501
SJR2,CilSm,2,705.5445799,0.70554458
SJR2,CilSm,3,483.6296401,0.48362964
SJR2,FlagSm,1,3096.499198,3.096499198
SJR2,FlagSm,2,2634.296439,2.634296439
SJR2,FlagSm,3,2563.75898,2.56375898
SJR2,Other,1,3682.582863,3.682582863
SJR2,Other,2,2440.962951,2.440962951
SJR2,Other,3,2981.188548,2.981188548
WLD2,CenDiaLg,1,0,0
WLD2,CenDiaLg,2,243.8205605,0.243820561
WLD2,CenDiaLg,3,447.3594593,0.447359459
WLD2,CenDiaSm,1,128.490453,0.128490453
WLD2,CenDiaSm,2,143.7340324,0.143734032
WLD2,CenDiaSm,3,256.9652942,0.256965294
WLD2,CilLg,1,732.798171,0.732798171
WLD2,CilLg,2,1223.898492,1.223898492
WLD2,CilLg,3,1243.942254,1.243942254
WLD2,CilSm,1,536.712147,0.536712147
WLD2,CilSm,2,774.1734463,0.774173446
WLD2,CilSm,3,1416.148644,1.416148644
WLD2,FlagSm,1,2357.131823,2.357131823
WLD2,FlagSm,2,4846.585571,4.846585571
WLD2,FlagSm,3,14490.07853,14.49007853
WLD2,Other,1,4597.830283,4.597830283
WLD2,Other,2,9301.154417,9.301154417
WLD2,Other,3,5600.610842,5.600610842
YBP1,CenDiaLg,1,523.6420352,0.523642035
YBP1,CenDiaLg,2,352.4124638,0.352412464
YBP1,CenDiaLg,3,388.4679367,0.388467937
YBP1,CenDiaSm,1,132.7955403,0.13279554
YBP1,CenDiaSm,2,91.312625,0.091312625
YBP1,CenDiaSm,3,67.83062804,0.067830628
YBP1,CilLg,1,1019.804442,1.019804442
YBP1,CilLg,2,1364.058215,1.364058215
YBP1,CilLg,3,2435.358765,2.435358765
YBP1,CilSm,1,730.4722789,0.730472279
YBP1,CilSm,2,173.8577933,0.173857793
YBP1,CilSm,3,678.5678516,0.678567852
YBP1,FlagSm,1,3624.887474,3.624887474
YBP1,FlagSm,2,4413.979841,4.413979841
YBP1,FlagSm,3,6301.291556,6.301291556
YBP1,Other,1,1642.210114,1.642210114
YBP1,Other,2,2511.004947,2.511004947
YBP1,Other,3,1983.636738,1.983636738
YBP2,CenDiaLg,1,13125.62287,13.12562287
YBP2,CenDiaLg,2,7049.617387,7.049617387
YBP2,CenDiaLg,3,1167.420434,1.167420434
YBP2,CenDiaSm,1,8300.953878,8.300953878
YBP2,CenDiaSm,2,11307.76971,11.30776971
YBP2,CenDiaSm,3,8456.930915,8.456930915
YBP2,CilLg,1,83408.17741,83.40817741
YBP2,CilLg,2,87428.20623,87.42820623
YBP2,CilLg,3,58773.17348,58.77317348
YBP2,CilSm,1,4726.736226,4.726736226
YBP2,CilSm,2,4162.667979,4.162667979
YBP2,CilSm,3,3254.976546,3.254976546
YBP2,FlagSm,1,10263.46293,10.26346293
YBP2,FlagSm,2,9858.136255,9.858136255
YBP2,FlagSm,3,8133.606608,8.133606608
YBP2,Other,1,43328.88224,43.32888224
YBP2,Other,2,35056.11919,35.05611919
YBP2,Other,3,29949.52665,29.94952665