samp_ev,taxaGroup,value
LSZ2,CenDiaLg,19.97823057
LSZ2,CenDiaLg,24.71431207
LSZ2,CenDiaLg,24.65988304
LSZ2,CenDiaSm,4.986472101
LSZ2,CenDiaSm,6.109658017
LSZ2,CenDiaSm,10.91775952
LSZ2,CilLg,1.101984754
LSZ2,CilLg,2.374879485
LSZ2,CilLg,1.047730071
LSZ2,CilSm,0.245152239
LSZ2,CilSm,0.240484342
LSZ2,CilSm,0.566193909
LSZ2,FlagSm,2.978512259
LSZ2,FlagSm,2.434245228
LSZ2,FlagSm,7.799609133
LSZ2,Other,1.473376379
LSZ2,Other,1.420848179
LSZ2,Other,2.869489219
SJR1,CenDiaLg,21.73931153
SJR1,CenDiaLg,23.46616245
SJR1,CenDiaLg,28.09740006
SJR1,CenDiaSm,3.816066072
SJR1,CenDiaSm,4.098578667
SJR1,CenDiaSm,2.260744215
SJR1,CilLg,1.766854936
SJR1,CilLg,3.034704552
SJR1,CilLg,2.516173559
SJR1,CilSm,1.439555792
SJR1,CilSm,1.055461837
SJR1,CilSm,2.092798918
SJR1,FlagSm,0.388821032
SJR1,FlagSm,0.369167454
SJR1,FlagSm,0.677712187
SJR1,Other,4.366444279
SJR1,Other,4.560656284
SJR1,Other,3.915617627
SJR2,CenDiaLg,1.295271352
SJR2,CenDiaLg,0.94888792
SJR2,CenDiaLg,1.095062539
SJR2,CenDiaSm,0.696139475
SJR2,CenDiaSm,0.982411111
SJR2,CenDiaSm,1.216175953
SJR2,CilLg,0.987983453
SJR2,CilLg,1.384661075
SJR2,CilLg,1.513181511
SJR2,CilSm,0.318314501
SJR2,CilSm,0.70554458
SJR2,CilSm,0.48362964
SJR2,FlagSm,3.096499198
SJR2,FlagSm,2.634296439
SJR2,FlagSm,2.56375898
SJR2,Other,3.682582863
SJR2,Other,2.440962951
SJR2,Other,2.981188548
WLD2,CenDiaLg,0
WLD2,CenDiaLg,0.243820561
WLD2,CenDiaLg,0.447359459
WLD2,CenDiaSm,0.128490453
WLD2,CenDiaSm,0.143734032
WLD2,CenDiaSm,0.256965294
WLD2,CilLg,0.732798171
WLD2,CilLg,1.223898492
WLD2,CilLg,1.243942254
WLD2,CilSm,0.536712147
WLD2,CilSm,0.774173446
WLD2,CilSm,1.416148644
WLD2,FlagSm,2.357131823
WLD2,FlagSm,4.846585571
WLD2,FlagSm,14.49007853
WLD2,Other,4.597830283
WLD2,Other,9.301154417
WLD2,Other,5.600610842
YBP1,CenDiaLg,0.523642035
YBP1,CenDiaLg,0.352412464
YBP1,CenDiaLg,0.388467937
YBP1,CenDiaSm,0.13279554
YBP1,CenDiaSm,0.091312625
YBP1,CenDiaSm,0.067830628
YBP1,CilLg,1.019804442
YBP1,CilLg,1.364058215
YBP1,CilLg,2.435358765
YBP1,CilSm,0.730472279
YBP1,CilSm,0.173857793
YBP1,CilSm,0.678567852
YBP1,FlagSm,3.624887474
YBP1,FlagSm,4.413979841
YBP1,FlagSm,6.301291556
YBP1,Other,1.642210114
YBP1,Other,2.511004947
YBP1,Other,1.983636738
YBP2,CenDiaLg,13.12562287
YBP2,CenDiaLg,7.049617387
YBP2,CenDiaLg,1.167420434
YBP2,CenDiaSm,8.300953878
YBP2,CenDiaSm,11.30776971
YBP2,CenDiaSm,8.456930915
YBP2,CilSm,4.726736226
YBP2,CilSm,4.162667979
YBP2,CilSm,3.254976546
YBP2,FlagSm,10.26346293
YBP2,FlagSm,9.858136255
YBP2,FlagSm,8.133606608